Line,No,East,North,Elevation,Progress,Crew,Remark,Date,Type
S9,1188,303778.9,9583138,0,,,,,
S9,1189,303798.9,9583138,0,,,,,
S9,1190,303818.9,9583138,0,,,,,
S9,1191,303838.9,9583138,0,,,,,
S9,1192,303858.9,9583138,0,,,,,
S9,1193,303878.9,9583138,0,,,,,
S9,1194,303898.9,9583138,0,,,,,
S9,1195,303918.9,9583138,0,,,,,
S9,1196,303938.9,9583138,0,,,,,
S9,1197,303958.9,9583138,0,,,,,
S9,1198,303978.9,9583138,0,,,,,
S9,1199,303998.9,9583138,0,,,,,
S9,1200,304018.9,9583138,0,,,,,
S9,1201,304038.9,9583138,0,,,,,
S9,1202,304058.9,9583138,0,,,,,
S9,1203,304078.9,9583138,0,,,,,
S9,1204,304098.9,9583138,0,,,,,
S9,1205,304118.9,9583138,0,,,,,
S9,1206,304138.9,9583138,0,,,,,
S9,1207,304158.9,9583138,0,,,,,
S9,1208,304178.9,9583138,0,,,,,
S9,1209,304198.9,9583138,0,,,,,
S9,1210,304218.9,9583138,0,,,,,
S9,1211,304238.9,9583138,0,,,,,
S9,1212,304258.9,9583138,0,,,,,
S9,1213,304278.9,9583138,0,,,,,
S9,1214,304298.9,9583138,0,,,,,
S9,1215,304318.9,9583138,0,,,,,
S9,1216,304338.9,9583138,0,,,,,
S9,1217,304358.9,9583138,0,,,,,
S9,1218,304378.9,9583138,0,,,,,
S9,1219,304398.9,9583138,0,,,,,
S9,1220,304418.9,9583138,0,,,,,
S9,1221,304438.9,9583138,0,,,,,
S9,1222,304458.9,9583138,0,,,,,
S9,1223,304478.9,9583138,0,,,,,
S9,1224,304498.9,9583138,0,,,,,
S9,1225,304518.9,9583138,0,,,,,
S9,1226,304538.9,9583138,0,,,,,
S9,1227,304558.9,9583138,0,,,,,
S9,1228,304578.9,9583138,0,,,,,
S9,1229,304598.9,9583138,0,,,,,
S9,1230,304618.9,9583138,0,,,,,
S9,1231,304638.9,9583138,0,,,,,
S9,1232,304658.9,9583138,0,,,,,
S9,1233,304678.9,9583138,0,,,,,
S9,1234,304698.9,9583138,0,,,,,
S9,1235,304718.9,9583138,0,,,,,
S9,1236,304738.9,9583138,0,,,,,
S9,1237,304758.9,9583138,0,,,,,
S9,1238,304778.9,9583138,0,,,,,
S9,1239,304798.9,9583138,0,,,,,
S9,1240,304818.9,9583138,0,,,,,
S9,1241,304838.9,9583138,0,,,,,
S9,1242,304858.9,9583138,0,,,,,
S9,1243,304878.9,9583138,0,,,,,
S9,1244,304898.9,9583138,0,,,,,
S9,1245,304918.9,9583138,0,,,,,
S9,1246,304938.9,9583138,0,,,,,
S9,1247,304958.9,9583138,0,,,,,
S9,1248,304978.9,9583138,0,,,,,
S9,1249,304998.9,9583138,0,,,,,
S9,1250,305018.9,9583138,0,,,,,
S9,1251,305038.9,9583138,0,,,,,
S9,1252,305058.9,9583138,0,,,,,
S9,1253,305078.9,9583138,0,,,,,
S9,1254,305098.9,9583138,0,,,,,
S9,1255,305118.9,9583138,0,,,,,
S9,1256,305138.9,9583138,0,,,,,
S9,1257,305158.9,9583138,0,,,,,
S9,1258,305178.9,9583138,0,,,,,
S9,1259,305198.9,9583138,0,,,,,
S9,1260,305218.9,9583138,0,,,,,
S9,1261,305238.9,9583138,0,,,,,
S9,1262,305258.9,9583138,0,,,,,
S9,1263,305278.9,9583138,0,,,,,
S9,1264,305298.9,9583138,0,,,,,
S9,1265,305318.9,9583138,0,,,,,
S9,1266,305338.9,9583138,0,,,,,
S9,1267,305358.9,9583138,0,,,,,
S9,1268,305378.9,9583138,0,,,,,
S9,1269,305398.9,9583138,0,,,,,
S9,1270,305418.9,9583138,0,,,,,
S9,1271,305438.9,9583138,0,,,,,
S9,1272,305458.9,9583138,0,,,,,
S9,1273,305478.9,9583138,0,,,,,
S9,1274,305498.9,9583138,0,,,,,
S9,1275,305518.9,9583138,0,,,,,
S9,1276,305538.9,9583138,0,,,,,
S9,1277,305558.9,9583138,0,,,,,
S9,1278,305578.9,9583138,0,,,,,
S9,1279,305598.9,9583138,0,,,,,
S9,1280,305618.9,9583138,0,,,,,
S9,1281,305638.9,9583138,0,,,,,
S9,1282,305658.9,9583138,0,,,,,
S9,1283,305678.9,9583138,0,,,,,
S9,1284,305698.9,9583138,0,,,,,
S9,1285,305718.9,9583138,0,,,,,
S9,1286,305738.9,9583138,0,,,,,
S9,1287,305758.9,9583138,0,,,,,
S9,1288,305778.9,9583138,0,,,,,
