Line,No,East,North,Elevation,Progress,Crew,Remark,Date,Type
S9,1193,304103.9,9583363,0,,,,,
S9,1194,304123.9,9583363,0,,,,,
S9,1195,304143.9,9583363,0,,,,,
S9,1196,304163.9,9583363,0,,,,,
S9,1197,304183.9,9583363,0,,,,,
S9,1198,304203.9,9583363,0,,,,,
S9,1199,304223.9,9583363,0,,,,,
S9,1200,304243.9,9583363,0,,,,,
S9,1201,304263.9,9583363,0,,,,,
S9,1202,304283.9,9583363,0,,,,,
S9,1203,304303.9,9583363,0,,,,,
S9,1204,304323.9,9583363,0,,,,,
S9,1205,304343.9,9583363,0,,,,,
S9,1206,304363.9,9583363,0,,,,,
S9,1207,304383.9,9583363,0,,,,,
S9,1208,304403.9,9583363,0,,,,,
S9,1209,304423.9,9583363,0,,,,,
S9,1210,304443.9,9583363,0,,,,,
S9,1211,304463.9,9583363,0,,,,,
S9,1212,304483.9,9583363,0,,,,,
S9,1213,304503.9,9583363,0,,,,,
S9,1214,304523.9,9583363,0,,,,,
S9,1215,304543.9,9583363,0,,,,,
S9,1216,304563.9,9583363,0,,,,,
S9,1217,304583.9,9583363,0,,,,,
S9,1218,304603.9,9583363,0,,,,,
S9,1219,304623.9,9583363,0,,,,,
S9,1220,304643.9,9583363,0,,,,,
S9,1221,304663.9,9583363,0,,,,,
S9,1222,304683.9,9583363,0,,,,,
S9,1223,304703.9,9583363,0,,,,,
S9,1224,304723.9,9583363,0,,,,,
S9,1225,304743.9,9583363,0,,,,,
S9,1226,304763.9,9583363,0,,,,,
S9,1227,304783.9,9583363,0,,,,,
S9,1228,304803.9,9583363,0,,,,,
S9,1229,304823.9,9583363,0,,,,,
S9,1230,304843.9,9583363,0,,,,,
S9,1231,304863.9,9583363,0,,,,,
S9,1232,304883.9,9583363,0,,,,,
S9,1233,304903.9,9583363,0,,,,,
S9,1234,304923.9,9583363,0,,,,,
S9,1235,304943.9,9583363,0,,,,,
S9,1236,304963.9,9583363,0,,,,,
S9,1237,304983.9,9583363,0,,,,,
S9,1238,305003.9,9583363,0,,,,,
S9,1239,305023.9,9583363,0,,,,,
S9,1240,305043.9,9583363,0,,,,,
S9,1241,305063.9,9583363,0,,,,,
S9,1242,305083.9,9583363,0,,,,,
S9,1243,305103.9,9583363,0,,,,,
S9,1244,305123.9,9583363,0,,,,,
S9,1245,305143.9,9583363,0,,,,,
S9,1246,305163.9,9583363,0,,,,,
S9,1247,305183.9,9583363,0,,,,,
S9,1248,305203.9,9583363,0,,,,,
S9,1249,305223.9,9583363,0,,,,,
S9,1250,305243.9,9583363,0,,,,,
S9,1251,305263.9,9583363,0,,,,,
S9,1252,305283.9,9583363,0,,,,,
S9,1253,305303.9,9583363,0,,,,,
S9,1254,305323.9,9583363,0,,,,,
S9,1255,305343.9,9583363,0,,,,,
S9,1256,305363.9,9583363,0,,,,,
S9,1257,305383.9,9583363,0,,,,,
S9,1258,305403.9,9583363,0,,,,,
S9,1259,305423.9,9583363,0,,,,,
S9,1260,305443.9,9583363,0,,,,,
S9,1261,305463.9,9583363,0,,,,,
S9,1262,305483.9,9583363,0,,,,,
S9,1263,305503.9,9583363,0,,,,,
S9,1264,305523.9,9583363,0,,,,,
S9,1265,305543.9,9583363,0,,,,,
S9,1266,305563.9,9583363,0,,,,,
S9,1267,305583.9,9583363,0,,,,,
S9,1268,305603.9,9583363,0,,,,,
S9,1269,305623.9,9583363,0,,,,,
S9,1270,305643.9,9583363,0,,,,,
S9,1271,305663.9,9583363,0,,,,,
S9,1272,305683.9,9583363,0,,,,,
S9,1273,305703.9,9583363,0,,,,,
S9,1274,305723.9,9583363,0,,,,,
S9,1275,305743.9,9583363,0,,,,,
S9,1276,305763.9,9583363,0,,,,,
S9,1277,305783.9,9583363,0,,,,,
S9,1278,305803.9,9583363,0,,,,,
S9,1279,305823.9,9583363,0,,,,,
S9,1280,305843.9,9583363,0,,,,,
S9,1281,305863.9,9583363,0,,,,,
S9,1282,305883.9,9583363,0,,,,,
S9,1283,305903.9,9583363,0,,,,,
S9,1284,305923.9,9583363,0,,,,,
S9,1285,305943.9,9583363,0,,,,,
S9,1286,305963.9,9583363,0,,,,,
S9,1287,305983.9,9583363,0,,,,,
S9,1288,306003.9,9583363,0,,,,,
S9,1289,306023.9,9583363,0,,,,,
S9,1290,306043.9,9583363,0,,,,,
S9,1291,306063.9,9583363,0,,,,,
S9,1292,306083.9,9583363,0,,,,,
S9,1293,306103.9,9583363,0,,,,,
S9,1294,306123.9,9583363,0,,,,,
S9,1295,306143.9,9583363,0,,,,,
S9,1296,306163.9,9583363,0,,,,,
S9,1297,306183.9,9583363,0,,,,,
S9,1298,306203.9,9583363,0,,,,,
S9,1299,306223.9,9583363,0,,,,,
S9,1300,306243.9,9583363,0,,,,,
S9,1301,306263.9,9583363,0,,,,,
S9,1302,306283.9,9583363,0,,,,,
S9,1303,306303.9,9583363,0,,,,,
S9,1304,306323.9,9583363,0,,,,,
S9,1305,306343.9,9583363,0,,,,,
S9,1306,306363.9,9583363,0,,,,,
S9,1307,306383.9,9583363,0,,,,,
S9,1308,306403.9,9583363,0,,,,,
S9,1309,306423.9,9583363,0,,,,,
S9,1310,306443.9,9583363,0,,,,,
S9,1311,306463.9,9583363,0,,,,,
S9,1312,306483.9,9583363,0,,,,,
S9,1313,306503.9,9583363,0,,,,,
S9,1314,306523.9,9583363,0,,,,,
S9,1315,306543.9,9583363,0,,,,,
S9,1316,306563.9,9583363,0,,,,,
S9,1317,306583.9,9583363,0,,,,,
S9,1318,306603.9,9583363,0,,,,,
S9,1319,306623.9,9583363,0,,,,,
S9,1320,306643.9,9583363,0,,,,,
S9,1321,306663.9,9583363,0,,,,,
S9,1322,306683.9,9583363,0,,,,,
S9,1323,306703.9,9583363,0,,,,,
S9,1324,306723.9,9583363,0,,,,,
S9,1325,306743.9,9583363,0,,,,,
S9,1326,306763.9,9583363,0,,,,,
S9,1327,306783.9,9583363,0,,,,,
S9,1328,306803.9,9583363,0,,,,,
S9,1329,306823.9,9583363,0,,,,,
S9,1330,306843.9,9583363,0,,,,,
S9,1331,306863.9,9583363,0,,,,,
S9,1332,306883.9,9583363,0,,,,,
S9,1333,306903.9,9583363,0,,,,,
S9,1334,306923.9,9583363,0,,,,,
S9,1335,306943.9,9583363,0,,,,,
S9,1336,306963.9,9583363,0,,,,,
S9,1337,306983.9,9583363,0,,,,,
S9,1338,307003.9,9583363,0,,,,,
S9,1339,307023.9,9583363,0,,,,,
